City,Average Compensation (USD),Min Compensation (USD),Max Compensation (USD)
-,"126,000.00","126,000.00","126,000.00"
(MID-ATLANTIC),"85,000.00","85,000.00","85,000.00"
12901,"73,000.00","73,000.00","73,000.00"
15000,"36,000.00","36,000.00","36,000.00"
15206,"39,018.00","39,018.00","39,018.00"
AACHEN,"17,200.00","17,200.00","17,200.00"
ABERDEEN,"66,378.00","37,360.00","114,774.00"
ABILENE,"27,000.00","27,000.00","27,000.00"
"ADAMS COUNTY, ILLINOIS","65,000.00","65,000.00","65,000.00"
ADELAIDE,"59,208.14","37,836.00","84,397.00"
AIKEN,"48,500.00","48,500.00","48,500.00"
AKRON,"86,250.00","72,500.00","100,000.00"
"ALAMEDA, CA","136,000.00","136,000.00","136,000.00"
ALASKA,"105,000.00","105,000.00","105,000.00"
ALBANY,"80,000.00","80,000.00","80,000.00"
"ALBANY, NY","161,000.00","161,000.00","161,000.00"
ALBUQUERQUE,"62,500.00","38,000.00","87,000.00"
ALBUQURQUE,"76,000.00","76,000.00","76,000.00"
ALEXANDRIA,"120,000.00","120,000.00","120,000.00"
"ALEXANDRIA, MN","53,000.00","53,000.00","53,000.00"
"ALEXANDRIA, VA","142,500.00","142,500.00","142,500.00"
ALLENTOWN,"77,750.00","50,000.00","105,500.00"
ALPHARETTA,"114,000.00","85,000.00","143,000.00"
ALVA,"23,360.00","23,360.00","23,360.00"
AMARILLO,"36,520.00","27,040.00","46,000.00"
"AMITE, LA","16,068.00","16,068.00","16,068.00"
AMSTERDAM,"76,620.00","24,600.00","196,000.00"
ANAHEIM,"60,000.00","60,000.00","60,000.00"
"ANAHEIM, CA","89,160.00","89,160.00","89,160.00"
ANCHORAGE,"85,600.00","58,000.00","125,000.00"
ANDERSON,"102,000.00","102,000.00","102,000.00"
ANN ARBOR,"89,231.25","54,000.00","126,000.00"
"ANN ARBOR, MI","65,000.00","65,000.00","65,000.00"
ANNAPOLIS,"71,000.00","71,000.00","71,000.00"
ANTWERP,"60,000.00","60,000.00","60,000.00"
APPLETON,"150,000.00","150,000.00","150,000.00"
ARACAJU,"20,000.00","20,000.00","20,000.00"
ARDÈCHE,"30,000.00","30,000.00","30,000.00"
ARIZONA,"91,000.00","91,000.00","91,000.00"
ARLINGOTN,"100,000.00","100,000.00","100,000.00"
ARLINGTON,"36,060.00","36,060.00","36,060.00"
"ARLINGTON, VA","109,750.00","97,000.00","122,500.00"
ARMAGH,"24,658.00","24,658.00","24,658.00"
ARMONK,"174,000.00","174,000.00","174,000.00"
ASHBY,"39,000.00","39,000.00","39,000.00"
ASHEVILLE,"64,543.33","35,200.00","129,800.00"
"ASHEVILLE, NC","42,000.00","42,000.00","42,000.00"
ATHENS,"32,816.67","9,200.00","69,250.00"
ATLANTA,"104,557.84","11,500.00","445,000.00"
"ATLANTA, GA","86,416.67","69,500.00","111,750.00"
AUBURN,"79,500.00","79,500.00","79,500.00"
"AUBURN, AL","87,500.00","87,500.00","87,500.00"
AUCKLAND,"60,357.50","29,000.00","132,000.00"
AUGSBURG,"33,919.00","33,919.00","33,919.00"
"AURORA, ON","77,460.00","77,460.00","77,460.00"
AUSTIN,"97,810.32","35,000.00","265,000.00"
AUSTIN TEXAS,"90,000.00","90,000.00","90,000.00"
"AUSTIN, TEXAS","92,000.00","92,000.00","92,000.00"
"AUSTIN, TX","108,877.78","75,000.00","165,000.00"
AVIGNON,"50,000.00","50,000.00","50,000.00"
BAD AXE,"64,000.00","64,000.00","64,000.00"
BAKERSFIELD,"65,000.00","65,000.00","65,000.00"
BALTIMORE,"112,550.00","54,250.00","240,000.00"
"BALTIMORE, MD","75,550.00","75,000.00","76,100.00"
BALTIMORE/DC,"136,000.00","136,000.00","136,000.00"
BANGALORE,"3,000.00","3,000.00","3,000.00"
BANGKOK,900.00,900.00,900.00
BARCELONA,"48,300.00","34,000.00","60,500.00"
BARRIE,"56,200.00","56,200.00","56,200.00"
BASEL,"110,105.00","110,105.00","110,105.00"
BATON ROUGE,"75,375.00","43,500.00","144,000.00"
"BATON ROUGE, LA","118,000.00","118,000.00","118,000.00"
BAVARIA,"45,955.00","45,955.00","45,955.00"
BAY AREA,"375,000.00","375,000.00","375,000.00"
BAY AREA (EAST BAY),"205,000.00","205,000.00","205,000.00"
BAY AREA CA,"107,500.00","107,500.00","107,500.00"
"BAY AREA, CA","264,000.00","264,000.00","264,000.00"
BEAUMONT,"109,000.00","109,000.00","109,000.00"
BEDFORD,"49,998.00","49,998.00","49,998.00"
BELA CRKVA,"9,157.00","9,157.00","9,157.00"
BELFAST,"48,003.75","36,135.00","57,000.00"
BELGRADE,"51,296.00","51,296.00","51,296.00"
BELLEVUE,"96,666.67","40,000.00","135,000.00"
BELLEVUE WA,"136,000.00","136,000.00","136,000.00"
BENGALURU,"16,770.00","16,770.00","16,770.00"
"BENICIA, CA","45,700.00","45,700.00","45,700.00"
BENTONVILLE,"102,000.00","102,000.00","102,000.00"
"BENTONVILLE, AR","81,050.00","73,100.00","89,000.00"
BERGEN,"73,500.00","73,500.00","73,500.00"
"BERKELEY, CA","170,000.00","170,000.00","170,000.00"
BERLIN,"72,299.46","47,000.00","93,912.47"
BERN,"93,837.50","84,000.00","103,675.00"
BERTRANGE,"38,000.00","38,000.00","38,000.00"
BETHESDA,"97,325.00","43,650.00","151,000.00"
"BETHESDA, MD","110,000.00","110,000.00","110,000.00"
BETHLEHEM,"77,000.00","62,000.00","92,000.00"
BEUNINGEN,"25,076.00","25,076.00","25,076.00"
"BILOXI, MS","32,000.00","32,000.00","32,000.00"
BIRMINGHAM,"84,800.00","27,000.00","146,000.00"
"BIRMINGHAM, AL","85,000.00","85,000.00","85,000.00"
BLACKSBURG,"57,625.00","53,000.00","62,000.00"
"BLACKSBURG, VA","79,000.00","79,000.00","79,000.00"
BLOOMFILED HILLS,"46,500.00","46,500.00","46,500.00"
BLOOMINGTON,"74,125.00","68,250.00","80,000.00"
BLOOMINGTON INDIANA,"70,000.00","70,000.00","70,000.00"
"BLOOMINGTON, IN","76,125.00","76,125.00","76,125.00"
BLUMENAU,"16,500.00","16,500.00","16,500.00"
BOCA RAON,"63,000.00","63,000.00","63,000.00"
BOCA RATON,"54,233.33","49,000.00","60,400.00"
"BOCA RATON, FL","102,290.00","102,290.00","102,290.00"
BOISE,"64,750.00","38,000.00","76,000.00"
BOLOGNA,"40,000.00","40,000.00","40,000.00"
