Gender,Average Compensation (USD),Number of Entries
MALE,"86,749.35",4098
FEMALE,"76,756.76",173
NON-BINARY,"85,300.00",2
GENDERQUEER,"61,700.00",2
-,"222,000.00",1
TOASTER,"41,814.01",1
AGENDER,"39,000.00",1
NUNYA,"110,000.00",1
BOTH,"45,471.60",1
DINOSAUR,"77,000.00",1
TRANS WOMEN,"29,500.00",1
AMMOSEXUAL,"135,000.00",1
MEAT POPSICLE,"150,000.00",1
APACHE AH 64 LONGBOW,"88,000.00",1
IT'S COMPLICATED,"385,000.00",1
TRANS - F,"130,500.00",1
STEVE,"22,000.00",1
NONBINARY,"83,000.00",1
ATTACK HELICOPTER,"130,000.00",1
MALE BUT IT WON'T LET ME SELECT MALE,"116,000.00",1
"GENDER != SEX, FEMALE/MALE IS SEX","75,000.00",1
